plz,einwohner
20095,1254
20097,4244
20099,13586
20144,7281
20146,7252
20148,9125
20149,9640
20249,8038
20251,11207
20253,14341
20255,5762
20257,5581
20259,7425
20354,8357
20355,6684
20357,9303
20359,8696
20457,17687
20459,5974
20535,6327
20537,10392
20539,48695
21029,8599
21031,6037
21033,11078
21035,6965
21037,88469
21039,44285
21073,4548
21075,11375
21077,18596
21079,37911
21107,46710
21109,42774
21129,46711
21147,20821
21149,47747
21217,0
22041,13838
22043,24112
22045,11736
22047,8245
22049,8188
22081,8399
22083,8356
22085,11120
22087,20387
22089,9497
22111,76141
22113,35600
22115,12984
22117,16178
22119,14576
22143,17656
22145,86122
22147,11768
22149,20122
22159,25709
22175,22272
22177,9193
22179,22541
22297,21967
22299,5562
22301,62237
22303,13981
22305,4132
22307,8766
22309,3950
22335,27407
22337,20157
22339,28118
22359,17031
22391,19686
22393,24291
22395,5806
22397,67352
22399,8950
22415,6345
22417,4836
22419,3259
22453,31370
22455,14967
22457,4650
22459,34262
22523,19354
22525,42631
22527,24323
22529,46108
22547,12898
22549,8658
22559,20333
22587,11078
22589,10634
22605,12671
22607,10343
22609,16915
22761,23517
22763,20514
22765,1509
22767,18429
22769,68251
22869,0
22885,0
27499,2431
